"id","shape_leng","shape_area","adm3_es","adm3_pcode","adm2_es","adm2_pcode","adm1_es","adm1_pcode","point_x","point_y"
40,"0.507413842885","0.011204478191","Los Naranjos","PA020405","Boquete","PA0204","Chiriquí","PA02","-82.4709029577","8.83207560068"
41,"0.414021095563","0.00530996221529","Palmira","PA020406","Boquete","PA0204","Chiriquí","PA02","-82.471868515","8.75326871604"
42,"0.397338722755","0.00784396958754","Aserrío de Gariché","PA020501","Bugaba","PA0205","Chiriquí","PA02","-82.7952084424","8.49580089907"
43,"0.174255035469","0.00109748174061","Bugaba","PA020502","Bugaba","PA0205","Chiriquí","PA02","-82.6216372842","8.48677977706"
44,"0.419021745471","0.0100189497245","Cerro Punta","PA020503","Bugaba","PA0205","Chiriquí","PA02","-82.5991386414","8.85236273279"
45,"0.289516063382","0.00313139117063","El Bongo","PA020504","Bugaba","PA0205","Chiriquí","PA02","-82.6183209526","8.60732520038"
46,"0.283304635702","0.0034056420082","Gómez","PA020505","Bugaba","PA0205","Chiriquí","PA02","-82.7519951942","8.5577117789"
47,"0.574694116012","0.00502914165277","La Concepción","PA020506","Bugaba","PA0205","Chiriquí","PA02","-82.633590698","8.52011066649"
48,"0.320271447471","0.00400855014399","La Estrella","PA020507","Bugaba","PA0205","Chiriquí","PA02","-82.6671269886","8.49584665617"
49,"0.358809535435","0.00491977440086","San Andrés","PA020508","Bugaba","PA0205","Chiriquí","PA02","-82.7148116125","8.6344262855"
50,"0.344802922245","0.00298897770851","Santa Marta","PA020509","Bugaba","PA0205","Chiriquí","PA02","-82.6994923804","8.49765329154"
51,"0.312789197389","0.00365177682733","Santa Rosa","PA020510","Bugaba","PA0205","Chiriquí","PA02","-82.681247711","8.60359575809"
52,"0.310125364245","0.00514872077199","Santo Domingo","PA020511","Bugaba","PA0205","Chiriquí","PA02","-82.7395826786","8.47528218022"
53,"0.269674497429","0.00249677947912","Sortová","PA020512","Bugaba","PA0205","Chiriquí","PA02","-82.6534976509","8.58216447293"
54,"0.915721155042","0.0172847971616","Volcán","PA020513","Bugaba","PA0205","Chiriquí","PA02","-82.6739015748","8.78985563157"
55,"0.439416396491","0.00667458109489","Bijagual","PA020601","David","PA0206","Chiriquí","PA02","-82.3224176344","8.49838378717"
56,"1.0580512577","0.0159397628433","Chiriquí","PA020602","David","PA0206","Chiriquí","PA02","-82.2942556058","8.36575123022"
57,"0.602602377079","0.00624468334494","Cochea","PA020603","David","PA0206","Chiriquí","PA02","-82.3871765137","8.5927588348"
58,"0.496731430667","0.00537473186131","David","PA020604","David","PA0206","Chiriquí","PA02","-82.4447345737","8.39989533862"
59,"0.661008054341","0.00592679271324","Guacá","PA020605","David","PA0206","Chiriquí","PA02","-82.4713230132","8.5225398873"
60,"0.416943004601","0.00580804548036","Las Lomas","PA020606","David","PA0206","Chiriquí","PA02","-82.3724590264","8.43263797538"
61,"2.3757315951","0.0111971237437","Pedregal","PA020607","David","PA0206","Chiriquí","PA02","-82.4064928927","8.32370231647"
62,"0.550990267783","0.00458633683445","San Carlos","PA020608","David","PA0206","Chiriquí","PA02","-82.5162277225","8.53999983522"
63,"0.538384580662","0.00577173590619","San Pablo Nuevo","PA020609","David","PA0206","Chiriquí","PA02","-82.4901308073","8.38443946247"
64,"0.330422363134","0.00525101229685","San Pablo Viejo","PA020610","David","PA0206","Chiriquí","PA02","-82.4855873582","8.459201837"
65,"0.605021288209","0.00561832146678","Dolega","PA020701","Dolega","PA0207","Chiriquí","PA02","-82.455057144","8.58092996482"
66,"0.298203418604","0.00194732380315","Dos Ríos","PA020702","Dolega","PA0207","Chiriquí","PA02","-82.372476578","8.51064971071"
67,"0.181155430126","0.00128336781967","Los Anastacios","PA020703","Dolega","PA0207","Chiriquí","PA02","-82.4116270758","8.52733123162"
68,"0.282275061773","0.00315249342877","Potrerillos Abajo","PA020704","Dolega","PA0207","Chiriquí","PA02","-82.4671931774","8.63810577693"
69,"0.329289034542","0.00470647442577","Potrerillos","PA020705","Dolega","PA0207","Chiriquí","PA02","-82.4942510207","8.71159969959"
70,"0.460365088142","0.00404839228201","Rovira","PA020706","Dolega","PA0207","Chiriquí","PA02","-82.5215070274","8.68007363478"
71,"0.303928783008","0.00272271902753","Tinajas","PA020707","Dolega","PA0207","Chiriquí","PA02","-82.4725391908","8.56600313715"
72,"0.700958381514","0.0180413913427","Gualaca","PA020801","Gualaca","PA0208","Chiriquí","PA02","-82.2403784709","8.57457288231"
73,"0.459767926325","0.0121391022308","Hornito","PA020802","Gualaca","PA0208","Chiriquí","PA02","-82.1985104556","8.70647322319"
74,"0.402651745921","0.00638392271004","Los Angeles","PA020803","Gualaca","PA0208","Chiriquí","PA02","-82.1872894666","8.52744449572"
75,"0.376526426399","0.0055363041816","Paja de Sombrero","PA020804","Gualaca","PA0208","Chiriquí","PA02","-82.280708313","8.65399242811"
76,"0.362408530843","0.00544777312419","Rincón","PA020805","Gualaca","PA0208","Chiriquí","PA02","-82.2413749784","8.45613876908"
77,"0.236726489894","0.00205028932504","El Nancito","PA020901","Remedios","PA0209","Chiriquí","PA02","-81.7461737159","8.24252331679"
78,"0.249118406239","0.00228442186767","El Porvenir","PA020902","Remedios","PA0209","Chiriquí","PA02","-81.8265906647","8.26958513983"
79,"0.52732975108","0.00349795183966","El Puerto","PA020903","Remedios","PA0209","Chiriquí","PA02","-81.7781944275","8.15305518773"
80,"0.385984065321","0.00216533778819","Remedios","PA020904","Remedios","PA0209","Chiriquí","PA02","-81.8015079497","8.18441932032"
81,"0.246768787103","0.00185734252429","Santa Lucía","PA020905","Remedios","PA0209","Chiriquí","PA02","-81.788049222","8.24707884561"
82,"0.305482362363","0.00345979854994","Breñón","PA021001","Renacimiento","PA0210","Chiriquí","PA02","-82.8140050428","8.61177493663"
83,"0.420022939989","0.00627778130926","Cañas Gordas","PA021002","Renacimiento","PA0210","Chiriquí","PA02","-82.8650811714","8.72281616773"
84,"0.545592513824","0.0118530812061","Monte Lirio","PA021003","Renacimiento","PA0210","Chiriquí","PA02","-82.7864220358","8.83240107179"
85,"0.452153774261","0.00740095699216","Plaza Caisán","PA021004","Renacimiento","PA0210","Chiriquí","PA02","-82.7756492968","8.75497231832"
86,"0.445483965011","0.00278150553455","Río Sereno","PA021005","Renacimiento","PA0210","Chiriquí","PA02","-82.8556666887","8.80672660873"
87,"0.561475341597","0.0124173995207","Santa Cruz","PA021006","Renacimiento","PA0210","Chiriquí","PA02","-82.759310586","8.67588883462"
88,"0.292993866754","0.00303475050715","Juay","PA021101","San Félix","PA0211","Chiriquí","PA02","-81.9541032229","8.30058614962"
89,"0.314443483656","0.00488088323237","La Lajas","PA021102","San Félix","PA0211","Chiriquí","PA02","-81.8514801959","8.20107113965"
90,"0.314001792909","0.0015699312312","Lajas Adentro","PA021103","San Félix","PA0211","Chiriquí","PA02","-81.8636608127","8.26054781627"
91,"0.34351147894","0.00420317996219","San Félix","PA021104","San Félix","PA0211","Chiriquí","PA02","-81.878234863","8.30297917242"
92,"0.370417226726","0.00607714085418","Santa Cruz","PA021105","San Félix","PA0211","Chiriquí","PA02","-81.9183181206","8.23704479945"
93,"3.13214161438","0.0108599785352","Boca Chica","PA021201","San Lorenzo","PA0212","Chiriquí","PA02","-82.1718018286","8.23816516817"
94,"0.777098045986","0.0189076535164","Boca del Monte","PA021202","San Lorenzo","PA0212","Chiriquí","PA02","-82.128177093","8.39912333746"
95,"0.95672118006","0.00644122421605","Horconcitos","PA021203","San Lorenzo","PA0212","Chiriquí","PA02","-82.1613467124","8.2993797442"
96,"0.555652238303","0.00967317128368","San Juan","PA021204","San Lorenzo","PA0212","Chiriquí","PA02","-82.0009175022","8.27344366076"
97,"0.85343196645","0.0119460973275","San Lorenzo","PA021205","San Lorenzo","PA0212","Chiriquí","PA02","-82.0737724305","8.28535100576"
98,"0.265051650017","0.00337801398217","Bella Vista","PA021301","Tolé","PA0213","Chiriquí","PA02","-81.6082399864","8.20513643158"
99,"0.819194876499","0.00501283788211","Cerro Viejo","PA021302","Tolé","PA0213","Chiriquí","PA02","-81.5521144867","8.25881141633"
100,"0.318185996415","0.00236031763008","El Cristo","PA021303","Tolé","PA0213","Chiriquí","PA02","-81.5983622864","8.33697596765"
101,"0.26194928264","0.00254241244616","Justo Fidel Palacios","PA021304","Tolé","PA0213","Chiriquí","PA02","-81.5233573912","8.33934804835"
102,"0.398212385998","0.00606795278708","Lajas de Tolé","PA021305","Tolé","PA0213","Chiriquí","PA02","-81.673728943","8.17100486074"
103,"0.239821945441","0.00153122806809","Potrero de Caña","PA021306","Tolé","PA0213","Chiriquí","PA02","-81.690189362","8.27444098512"
104,"1.30175221345","0.0105395183156","Quebrada de Piedra","PA021307","Tolé","PA0213","Chiriquí","PA02","-81.6455440522","8.07157342907"
105,"0.473181069306","0.0063814958582","Tolé","PA021308","Tolé","PA0213","Chiriquí","PA02","-81.7059457542","8.21846622834"
106,"0.353289172134","0.00388047462562","Veladero","PA021309","Tolé","PA0213","Chiriquí","PA02","-81.636795044","8.2549949153"
107,"0.387114530053","0.00381010215246","Aguadulce","PA030101","Aguadulce","PA0301","Coclé","PA03","-80.5685596462","8.19911552077"
108,"0.416972839672","0.00502485517238","Barrios Unidos","PA030102","Aguadulce","PA0301","Coclé","PA03","-80.5161299605","8.20359355941"
109,"0.458743793121","0.0089237029122","El Cristo","PA030103","Aguadulce","PA0301","Coclé","PA03","-80.6260599189","8.25860860938"
110,"1.02890922744","0.0167688751575","El Roble","PA030104","Aguadulce","PA0301","Coclé","PA03","-80.651773453","8.1652235633"
111,"0.19085407686","0.0017577546229","Pocrí","PA030105","Aguadulce","PA0301","Coclé","PA03","-80.5535761261","8.2542585431"
112,"0.637112950623","0.00831018410406","Antón","PA030201","Antón","PA0302","Coclé","PA03","-80.2672269025","8.38178793317"
113,"0.337466781879","0.00307229907367","Caballero","PA030202","Antón","PA0302","Coclé","PA03","-80.2208976747","8.50007546435"
114,"0.364988037659","0.00416903161808","Cabuya","PA030203","Antón","PA0302","Coclé","PA03","-80.1363371976","8.52855610553"
115,"0.610563609357","0.00766949666877","El Chirú","PA030204","Antón","PA0302","Coclé","PA03","-80.2133331071","8.36454131367"
116,"0.498151196581","0.00504472637537","El Retiro","PA030205","Antón","PA0302","Coclé","PA03","-80.1748464318","8.44111626832"
117,"0.248165407489","0.00297113941502","El Valle","PA030206","Antón","PA0302","Coclé","PA03","-80.1288804406","8.59444549668"
118,"0.726895086226","0.00658795019532","Juan Diaz","PA030207","Antón","PA0302","Coclé","PA03","-80.2942409515","8.43157707854"
119,"0.662902965332","0.00972393887892","Río Hato","PA030208","Antón","PA0302","Coclé","PA03","-80.1138153075","8.44516561446"
120,"0.412281606643","0.00425375624591","San Juan de Dios","PA030209","Antón","PA0302","Coclé","PA03","-80.2605781557","8.51318442005"
121,"0.358186419506","0.0032496641658","Santa Rita","PA030210","Antón","PA0302","Coclé","PA03","-80.1912964289","8.48611319416"
122,"0.787775354904","0.0200871279955","El Harino","PA030301","La Pintada","PA0303","Coclé","PA03","-80.6203792986","8.70478006012"
123,"0.335559186033","0.00569560745023","El Potrero","PA030302","La Pintada","PA0303","Coclé","PA03","-80.516512466","8.55003935881"
124,"0.431343118348","0.00746817921311","La Pintada","PA030303","La Pintada","PA0303","Coclé","PA03","-80.4546259918","8.57681031319"
125,"0.425709990027","0.0071158536014","Las Lomas","PA030304","La Pintada","PA0303","Coclé","PA03","-80.6478185032","8.6263008994"
126,"0.963306694619","0.0336575843795","Llano Grande","PA030305","La Pintada","PA0303","Coclé","PA03","-80.4773847551","8.78552715164"
127,"0.611488786869","0.011293954122","Piedras Gordas","PA030306","La Pintada","PA0303","Coclé","PA03","-80.5650653837","8.7487321998"
128,"0.597378208796","0.00730307211878","Capellania","PA030401","Natá","PA0304","Coclé","PA03","-80.553798676","8.29825135319"
129,"0.381569145529","0.00641674492077","El Caño","PA030402","Natá","PA0304","Coclé","PA03","-80.5424731016","8.44735276085"
130,"0.353326691772","0.00508781499784","Guzmán","PA030403","Natá","PA0304","Coclé","PA03","-80.586603612","8.55301169056"
131,"0.58209118263","0.00876506990919","Las Huacas","PA030404","Natá","PA0304","Coclé","PA03","-80.7530326845","8.50711347242"
