"id","geom","shape_leng","shape_area","adm3_es","adm3_pcode","adm3_ref","adm3alt1es","adm3alt2es","adm2_es","adm2_pcode","adm1_es","adm1_pcode","adm0_es","adm0_pcode","date","validon","validto","point_x","point_y"
12,"0101000020E610000008A49EAF398E54C0C0E26CDE32F62140","0.329054405834","0.00271381873457","Miramar","PA010302",NULL,NULL,NULL,"Chiriquí Grande","PA0103","Bocas del Toro","PA01","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.2222708749","8.98085684852"
13,"0101000020E6100000F8431FAC118B54C0405A62F63FC72140","0.253520726024","0.00190577118343","Punta Peña","PA010303","Punta Pena",NULL,NULL,"Chiriquí Grande","PA0103","Bocas del Toro","PA01","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.1729536348","8.88915986968"
14,"0101000020E610000010EBFFAF599254C0603808B187102240","0.684810630077","0.00616494426403","Punta Robalo","PA010304","Punta Robalo",NULL,NULL,"Chiriquí Grande","PA0103","Bocas del Toro","PA01","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.2867240905","9.03228524423"
15,"0101000020E610000038388896888B54C060EBC69861E52140","0.423427059474","0.00281003991821","Rambala","PA010305",NULL,NULL,NULL,"Chiriquí Grande","PA0103","Bocas del Toro","PA01","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.1802116709","8.94801022938"
16,"0101000020E610000098CEFFBF32A654C00089F1FDCCD22040","0.513160402814","0.00470047421128","Alanje","PA020101",NULL,NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.596847534","8.41172021459"
17,"0101000020E610000058FDB1126DAD54C060B9A38E84CD2040","0.572113405235","0.0111040683494","Divalá","PA020102","Divala",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.7097822893","8.40140195607"
18,"0101000020E610000034DE7D398AA454C0C01B17F04FDD2040","0.255327676802","0.00309726687002","El Tejar","PA020103","El Tejar",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5709365586","8.43225050242"
19,"0101000020E610000040CDFFC7C3A354C0207D669889AD2040","0.675823062128","0.0063260813748","Guarumal","PA020104",NULL,NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.558824539","8.33894039394"
20,"0101000020E6100000D0FDCE69B3A654C020610FDE80B12040","0.241916750988","0.00278721910868","Palo Grande","PA020105","Palo Grande",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6047005197","8.34668630541"
21,"0101000020E610000054487BEB72A054C02024D23862B02040","0.347943910071","0.00293693182064","Querévalo","PA020106","Querevalo",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.507014151","8.34449937406"
